DB,String
DB001,YYNNOMNNNNNYNYY
DB002,YYNNOLNNYNNNYYN
DB003,NNNYPMYNYNNNYYN
DB004,YNNYPMNNNNNNNYN
DB005,YNNYPMNNYNNNNYY
DB006,NNNYPMNNYNNNNYN
DB007,NNNYPMNNYNNNYNY
DB008,YYNNOMNNYNNNYYN
DB009,NYNNPLNNYNNNNYN
DB010,NNNYPHNNYNNNNNN
DB011,YNNNOHYNYNNNYYN
DB012,NNNYPHNNNNNNNYN
DB013,NYYNSMNNYNNNNYN
DB014,YNNYSLNNYNNNNYY
DB017,NYYNIHNNYNYYYYN
DB019,NNYNIMNYYNNNNYN
DB020,NNYNILNNYNNYNYN
DB021,NYYNIHNNYYYNYYN
DB022,YYYNIMNYYNYYYYN
DB023,YYYNIMNNYNYNYYN
DB024,YYNNILNNYYYYNYY
DB025,YYYNSMNYYNNYYYN
DB026,NYYNOMNNYNNYNYN
DB027,NYYNIMNNYNNYYYN
DB028,YYYNSMNYYYNYYYN
DB029,YYNNILNNYNNYYYY
DB030,YYYNIHYNYNYYYYN
DB031,NYYNILNNYYYYYYN
DB032,NYNNOLYYYNNNNYN
DB034,NNYNOMYNNNNYNYN
DB036,NYYNOHYYYNYYYYY
DB037,NNYNOMYNNNNYNYN
DB040,YNNYPMNNNNNYYYN
DB041,YNNYPHNNNNNYYYN
DB042,NYNYPHNNYNNYNYN
DB043,NYYNOLNNYNNYYYN
DB044,YYYYPLNNNNNYNYN
DB045,NYNYSHYNNNNNNYN
DB046,NYYNOMYYYNNYYYN
DB047,YYNNOHYYYNNYYYN
DB048,YNNYPHNNYNNNNYN
DB049,NNYNILNNNNYNNYN
DB050,NNYNOHYNYYYYYYN
DB051,NYNNOHNYYNNYNYN
DB052,YYNNOHYYYNNNYYN
DB053,YYYNIMYNYNYYYYN
DB054,YYNNILYNNNNNNYN
DB055,NYYNOLYNYNNYYYN
DB057,NNYNOLYYYYNYNYN
DB056,NNYNOLYYYNYYYYN
DB058,NNYNOHYYYNYYYYN
DB059,NNYNOLNNNNYYNYN
DB060,NNYNOHYYYNNYYYN
DB061,NNYNOLYNNNYYNYN
DB062,YYNNOHNNYNNYYYN
DB063,NNYNIHNYNNNYNYN
DB064,YYYNOMNYYNNNYYN
DB065,NYYNOLNYYNNYNYN
DB066,YYYNOLNNNNNYNYN
DB100,NNYNOHYNYYNNNYN
DB101,NYNNOLNNNNNYNYY
DB102,NNYNOLYYNNNYNYN
DB103,NNYNPLYYYYNNYYY
DB104,NYYNIHNYYNYNYYN
DB105,NNYNILNNNNYYNYN
DB106,NYNNILNNNNNYNYN
DB107,NYYNIHNNYNNYYYY
DB108,YNNNOMNNNNNYNYN
DB109,NYYNOLYNNNNNNYN
DB110,YYNNOMYNYNNNNYN
DB111,NYYNILNNNNNNNYN
DB112,NYYNIHNYYNNNNYN
DB113,YNNNOMYNNNNNNYN
DB114,YNNNOMYNNNNNNYN
DB115,NYYNIHYNYNNNYYN
DB116,NNYNSHNNNNNNNNN
DB117,YNNYPMNNNNNNNYN
DB118,YYNNPLNNYNNYYYN
DB119,NYYNIMNYYNNYYYN
DB120,NYNNIMNNNNNYNYN
DB121,YYYYPMNNYNNNYYY
DB122,NNYNPHNYYNNNYYY
DB123,NYNNPMNNYNNNNYN
